ticker,ann_date,t_minus1,t_plus1,S_entry,S_exit,iv_near,iv_far,EP,move_pct,raw_pnl,net_pnl,pnl_pct_prem,stop_triggered,lam_earnings,ep_merton,ep_bs
PYPL,2024-11-06,2024-11-05,2024-11-07,78.8286,81.2605,0.328974,0.25569,0.073284,3.0852,3.859876,3.846765,293.4052,False,4.0559,2.304289,3.493469
AAPL,2024-11-06,2024-11-05,2024-11-07,221.7874,222.9586,0.191618,0.118474,0.073144,0.5281,9.545721,9.508834,257.7781,False,0.486,4.772124,9.829022
KLAC,2024-11-06,2024-11-05,2024-11-07,661.1061,673.4538,0.377324,0.29985,0.077475,1.8677,47.751293,47.641338,433.2798,False,1.2616,15.261769,29.298445
FTNT,2024-11-06,2024-11-05,2024-11-07,77.92,82.45,0.638327,0.284601,0.353727,5.8137,7.21316,7.2002,555.5861,True,15.3078,4.413913,3.453205
VRTX,2025-02-10,2025-02-07,2025-02-11,469.32,459.83,0.307958,0.189164,0.118794,-2.0221,25.707426,25.629369,328.3406,False,1.5398,11.105948,20.799
INTC,2025-02-10,2025-02-07,2025-02-11,19.1,19.87,0.963685,0.786167,0.177518,4.0314,3.527003,3.523826,1109.2687,True,7.1766,0.701657,0.846461
AMAT,2025-02-10,2025-02-07,2025-02-11,177.773,179.5508,0.673434,0.41234,0.261094,1.0,26.44181,26.412243,893.2954,False,0.486,3.825081,7.878422
BIIB,2025-02-10,2025-02-07,2025-02-11,141.35,140.66,0.469817,0.284875,0.184942,-0.4882,15.157284,15.133775,643.735,False,0.486,3.04138,6.264252
ABNB,2025-02-10,2025-02-07,2025-02-11,134.98,134.91,0.948512,0.446533,0.501979,-0.0519,29.830756,29.808307,1327.7723,False,0.486,2.904318,5.98195
DDOG,2025-02-10,2025-02-07,2025-02-11,142.65,146.38,0.634013,0.418946,0.215067,2.6148,17.627643,17.603917,741.9818,False,2.8134,3.767702,6.321864
DXCM,2025-02-10,2025-02-07,2025-02-11,88.08,87.52,0.549432,0.463568,0.085864,-0.6358,10.921787,10.907138,744.542,False,0.486,1.895187,3.903469
COIN,2025-02-10,2025-02-07,2025-02-11,274.49,277.55,1.046157,0.944773,0.101384,1.1148,63.841387,63.795733,1397.4003,False,0.486,5.906107,12.164658
AMD,2025-05-12,2025-05-09,2025-05-13,102.84,109.6,0.518939,0.437361,0.081578,6.5733,5.927468,5.910363,345.5476,True,19.6685,6.826587,4.557592
VRTX,2025-05-12,2025-05-09,2025-05-13,424.99,437.53,0.355149,0.202614,0.152535,2.9507,23.932984,23.8623,337.5898,False,3.6797,12.054846,18.834412
NVDA,2025-05-12,2025-05-09,2025-05-13,116.4868,124.8051,0.420637,0.276199,0.144437,7.141,3.428081,3.408707,175.9417,True,23.2765,8.589702,5.16238
COIN,2025-05-12,2025-05-09,2025-05-13,199.32,231.71,1.742552,0.737151,1.005401,16.2502,47.440623,47.407472,1430.0513,True,122.0198,34.38891,8.833326
NET,2025-05-12,2025-05-09,2025-05-13,132.34,143.42,0.404965,0.294991,0.109973,8.3724,1.789453,1.767442,80.2989,True,32.129,11.829067,5.864952
MRNA,2025-05-12,2025-05-09,2025-05-13,24.25,25.6,0.783861,0.532327,0.251534,5.567,3.11141,3.107376,770.4382,True,14.007,1.299194,1.074695
AVGO,2025-05-12,2025-05-09,2025-05-13,206.5266,220.2157,0.384787,0.324441,0.060346,6.6282,5.439042,5.404693,157.3442,True,20.0045,13.856384,9.152704
ILMN,2025-05-12,2025-05-09,2025-05-13,75.76,81.49,0.448104,0.353254,0.094849,7.5634,2.386661,2.37406,188.4115,True,26.1544,5.99855,3.357479
UBER,2025-05-12,2025-05-09,2025-05-13,82.81,87.41,0.331412,0.257957,0.073455,5.5549,2.055968,2.042195,148.2758,True,13.9446,4.424187,3.669916
KLAC,2025-05-12,2025-05-09,2025-05-13,695.0365,753.3196,0.379664,0.298797,0.080866,8.3856,5.273217,5.157619,44.6167,True,32.2318,62.239182,30.802147
AMAT,2025-05-12,2025-05-09,2025-05-13,154.0388,167.1649,0.490166,0.283003,0.207163,8.5213,4.86218,4.836561,188.7827,True,33.295,14.05191,6.826584
FTNT,2025-05-12,2025-05-09,2025-05-13,97.42,101.49,0.301415,0.207164,0.094252,4.1778,3.089979,3.073776,189.7054,True,7.7334,3.713087,4.317392
DXCM,2025-05-12,2025-05-09,2025-05-13,84.67,84.74,0.277237,0.21318,0.064057,0.0827,5.683356,5.669274,402.5813,False,0.486,1.821815,3.752346
BIIB,2025-05-12,2025-05-09,2025-05-13,118.17,124.01,0.371976,0.277217,0.09476,4.942,4.757496,4.737842,241.0622,True,10.9633,5.454065,5.236976
PAYC,2025-08-12,2025-08-11,2025-08-13,218.9794,213.1542,0.381077,0.261474,0.119603,-2.6601,14.269975,14.233554,390.8101,False,2.9243,5.837674,9.704577
PYPL,2025-08-12,2025-08-11,2025-08-13,66.7233,67.8672,0.338074,0.240002,0.098072,1.7144,4.321052,4.309955,388.3748,False,1.007,1.505476,2.956996
NXPI,2025-08-12,2025-08-11,2025-08-13,202.2609,217.6503,0.382694,0.264989,0.117705,7.6087,3.246567,3.212927,95.5091,True,26.4732,16.132036,8.96366
RBLX,2025-08-12,2025-08-11,2025-08-13,130.74,129.81,0.496869,0.374612,0.122257,-0.7113,14.538351,14.516606,667.5938,False,0.486,2.813088,5.794045
AMD,2025-08-12,2025-08-11,2025-08-13,172.28,179.91,0.625892,0.363129,0.262764,4.4288,17.843714,17.815061,621.7391,True,8.7347,6.995526,7.634986
NFLX,2025-08-12,2025-08-11,2025-08-13,121.831,123.4,0.30138,0.232165,0.069216,1.2878,7.384103,7.36384,363.4145,False,0.486,2.621396,5.399222
KLAC,2025-08-12,2025-08-11,2025-08-13,904.3514,933.9804,0.682843,0.311897,0.370946,3.2763,115.873012,115.7226,769.3725,False,4.6193,27.626116,40.078419
BIIB,2025-08-12,2025-08-11,2025-08-13,128.0,129.62,0.413324,0.310623,0.102701,1.2656,11.072767,11.051478,519.118,False,0.486,2.754132,5.672615
OKTA,2025-08-12,2025-08-11,2025-08-13,88.51,89.63,0.39137,0.298508,0.092862,1.2654,7.211271,7.19655,488.8636,False,0.486,1.904439,3.922525
PANW,2025-08-12,2025-08-11,2025-08-13,168.17,180.15,0.310512,0.152127,0.158386,7.1237,0.730728,0.702758,25.1254,True,23.1623,12.363244,7.452842
LRCX,2025-08-12,2025-08-11,2025-08-13,101.51,105.9884,0.604871,0.36748,0.237391,4.4118,10.042722,10.025839,593.8372,True,8.6648,4.104173,4.498652
AMAT,2025-08-12,2025-08-11,2025-08-13,183.0373,188.4178,1.089268,0.332456,0.756812,2.9396,41.023262,40.992819,1346.5544,False,3.6494,5.179184,8.11172
FTNT,2025-08-12,2025-08-11,2025-08-13,74.57,79.88,0.430556,0.275434,0.155122,7.1208,2.379172,2.36677,190.8304,True,23.1431,5.479298,3.304742
DXCM,2025-11-10,2025-11-07,2025-11-11,55.0,56.29,0.505042,0.267792,0.23725,2.3455,5.320265,5.311117,580.6025,False,2.1943,1.378116,2.437452
QCOM,2025-11-10,2025-11-07,2025-11-11,168.3149,168.4233,0.374886,0.27744,0.097446,0.0644,15.098498,15.070504,538.3452,False,0.486,3.621575,7.459264
ABNB,2025-11-10,2025-11-07,2025-11-11,120.88,120.28,0.331576,0.273807,0.05777,-0.4964,9.120446,9.100341,452.6462,False,0.486,2.600933,5.357076
AAPL,2025-11-10,2025-11-07,2025-11-11,267.7126,269.3096,0.228929,0.148415,0.080514,0.5965,13.628451,13.583925,305.0789,False,0.486,5.760281,11.864303
TSLA,2025-11-10,2025-11-07,2025-11-11,429.52,439.4,0.503913,0.412613,0.0913,2.3002,41.631477,41.560039,581.7659,False,2.097,10.672209,19.03517
MRNA,2025-11-10,2025-11-07,2025-11-11,24.54,24.95,0.750479,0.588135,0.162344,1.6707,3.917655,3.913574,958.8588,False,0.9386,0.55028,1.087547
AMD,2025-11-10,2025-11-07,2025-11-11,233.54,241.66,0.81912,0.512677,0.306443,3.4769,36.72538,36.686537,944.4983,True,5.2472,7.482301,10.349864
PYPL,2025-11-10,2025-11-07,2025-11-11,65.8678,65.8977,0.349573,0.269103,0.080471,0.0453,5.538762,5.527807,504.5859,False,0.486,1.417256,2.919086
COIN,2026-02-11,2026-02-10,2026-02-12,162.51,153.1,1.354355,0.803024,0.551331,-5.7904,41.537431,41.510402,1535.7926,True,15.1828,9.158187,7.202006
ISRG,2026-02-11,2026-02-10,2026-02-12,495.15,496.12,0.352492,0.223442,0.12905,0.1959,41.222425,41.140071,499.5558,False,0.486,10.653973,21.943715
