S0,strike,T,type,option_price,iv_market,moneyness,expiry,r
735.5999755859375,645.0,0.8054794520547945,put,27.22,0.2925097782621283,0.8768352656431634,2027-03-19,0.05
735.5999755859375,650.0,0.8054794520547945,put,27.23,0.28510661627266853,0.8836324382450483,2027-03-19,0.05
735.5999755859375,655.0,0.8054794520547945,put,28.45,0.283782103176126,0.8904296108469334,2027-03-19,0.05
735.5999755859375,660.0,0.8054794520547945,put,29.58,0.2818222604105452,0.8972267834488183,2027-03-19,0.05
735.5999755859375,665.0,0.8054794520547945,put,30.76,0.27993267211393696,0.9040239560507033,2027-03-19,0.05
735.5999755859375,670.0,0.8054794520547945,put,32.03,0.2782944623669412,0.9108211286525884,2027-03-19,0.05
735.5999755859375,675.0,0.8054794520547945,put,33.4,0.2769368575303069,0.9176183012544733,2027-03-19,0.05
735.5999755859375,680.0,0.8054794520547945,put,34.61,0.2746566786886333,0.9244154738563582,2027-03-19,0.05
735.5999755859375,685.0,0.8054794520547945,put,37.04,0.27767911299081466,0.9312126464582433,2027-03-19,0.05
735.5999755859375,690.0,0.8054794520547945,put,38.39,0.27561097439032634,0.9380098190601283,2027-03-19,0.05
735.5999755859375,695.0,0.8054794520547945,put,40.1,0.27493498147721374,0.9448069916620132,2027-03-19,0.05
735.5999755859375,700.0,0.8054794520547945,put,40.6,0.2688663763670566,0.9516041642638983,2027-03-19,0.05
735.5999755859375,705.0,0.8054794520547945,put,42.36,0.26805729337460854,0.9584013368657832,2027-03-19,0.05
735.5999755859375,710.0,0.8054794520547945,put,44.08,0.26687286892393447,0.9651985094676682,2027-03-19,0.05
735.5999755859375,715.0,0.8054794520547945,put,47.01,0.2704785116488117,0.9719956820695532,2027-03-19,0.05
735.5999755859375,720.0,0.8054794520547945,put,47.58,0.2641580590416316,0.9787928546714382,2027-03-19,0.05
735.5999755859375,725.0,0.8054794520547945,put,49.84,0.2645681895085745,0.9855900272733231,2027-03-19,0.05
735.5999755859375,730.0,0.8054794520547945,put,51.89,0.26390965660879406,0.9923871998752082,2027-03-19,0.05
735.5999755859375,735.0,0.8054794520547945,put,53.48,0.2612216756871662,0.9991843724770931,2027-03-19,0.05
735.5999755859375,740.0,0.8054794520547945,call,71.99,0.2273172219394758,1.0059815450789782,2027-03-19,0.05
735.5999755859375,745.0,0.8054794520547945,call,69.47,0.22722503809464162,1.0127787176808631,2027-03-19,0.05
735.5999755859375,750.0,0.8054794520547945,call,66.55,0.22533918603692862,1.019575890282748,2027-03-19,0.05
735.5999755859375,755.0,0.8054794520547945,call,63.48,0.2226573094518806,1.026373062884633,2027-03-19,0.05
735.5999755859375,760.0,0.8054794520547945,call,60.89,0.22160239482933947,1.033170235486518,2027-03-19,0.05
735.5999755859375,765.0,0.8054794520547945,call,59.15,0.22356077489246468,1.0399674080884032,2027-03-19,0.05
735.5999755859375,770.0,0.8054794520547945,call,56.71,0.22260434808446658,1.046764580690288,2027-03-19,0.05
735.5999755859375,775.0,0.8054794520547945,call,54.32,0.22160775251086975,1.053561753292173,2027-03-19,0.05
735.5999755859375,780.0,0.8054794520547945,call,51.96,0.22049465976466293,1.060358925894058,2027-03-19,0.05
735.5999755859375,785.0,0.8054794520547945,call,49.74,0.21968235038585043,1.067156098495943,2027-03-19,0.05
735.5999755859375,790.0,0.8054794520547945,call,47.52,0.21863902885822747,1.073953271097828,2027-03-19,0.05
735.5999755859375,795.0,0.8054794520547945,call,45.39,0.2177067547146607,1.080750443699713,2027-03-19,0.05
735.5999755859375,800.0,0.8054794520547945,call,43.39,0.217039930116671,1.087547616301598,2027-03-19,0.05
735.5999755859375,805.0,0.8054794520547945,call,41.42,0.21625845419561124,1.094344788903483,2027-03-19,0.05
735.5999755859375,810.0,0.8054794520547945,call,38.85,0.2129238211017424,1.101141961505368,2027-03-19,0.05
735.5999755859375,815.0,0.8054794520547945,call,37.44,0.21384334380632886,1.1079391341072529,2027-03-19,0.05
735.5999755859375,820.0,0.8054794520547945,call,33.2,0.20340962401055201,1.114736306709138,2027-03-19,0.05
735.5999755859375,825.0,0.8054794520547945,call,30.29,0.19781618964850178,1.121533479311023,2027-03-19,0.05
735.5999755859375,830.0,0.8054794520547945,call,29.2,0.199234656721619,1.128330651912908,2027-03-19,0.05
735.5999755859375,835.0,0.8054794520547945,call,28.7,0.2028718668843222,1.1351278245147929,2027-03-19,0.05
735.5999755859375,840.0,0.8054794520547945,call,26.05,0.19745135250713067,1.1419249971166778,2027-03-19,0.05
735.5999755859375,845.0,0.8054794520547945,call,27.75,0.20993080527206542,1.1487221697185628,2027-03-19,0.05
735.5999755859375,630.0,1.0520547945205478,put,28.98,0.2941273858986277,0.8564437478375084,2027-06-17,0.05
735.5999755859375,635.0,1.0520547945205478,put,32.01,0.30151423137661393,0.8632409204393934,2027-06-17,0.05
