lambda,mu_J,rmse
3.8134929295117215,-0.45,0.6706485105430765
3.8134929295117215,-0.4247058823529412,0.6415664024786301
3.8134929295117215,-0.39941176470588236,0.6130067784433088
3.8134929295117215,-0.37411764705882355,0.5850753130549508
3.8134929295117215,-0.3488235294117647,0.5578916464526871
3.8134929295117215,-0.3235294117647059,0.5315912805278398
3.8134929295117215,-0.29823529411764704,0.5063278050472292
3.8134929295117215,-0.27294117647058824,0.4822756634562585
3.8134929295117215,-0.24764705882352941,0.4596338296798804
3.8134929295117215,-0.2223529411764706,0.4386309354620192
3.8134929295117215,-0.1970588235294118,0.4195324210482845
3.8134929295117215,-0.17176470588235293,0.4026498165173804
3.8134929295117215,-0.14647058823529413,0.38835053138788483
3.8134929295117215,-0.12117647058823527,0.37706257756632955
3.8134929295117215,-0.09588235294117647,0.36926279602228573
3.8134929295117215,-0.07058823529411762,0.36543444686235804
3.8134929295117215,-0.04529411764705882,0.36599044297835015
3.8134929295117215,-0.02,0.3711854680820784
5.000000000000001,-0.45,0.808536135941944
5.000000000000001,-0.4247058823529412,0.7750109981371439
5.000000000000001,-0.39941176470588236,0.7420714944366527
5.000000000000001,-0.37411764705882355,0.7098351409791214
5.000000000000001,-0.3488235294117647,0.6784358551524389
5.000000000000001,-0.3235294117647059,0.6480270151484906
5.000000000000001,-0.29823529411764704,0.6187851941176142
5.000000000000001,-0.27294117647058824,0.5909145752583386
5.000000000000001,-0.24764705882352941,0.564651983036866
5.000000000000001,-0.2223529411764706,0.5402724957702647
5.000000000000001,-0.1970588235294118,0.5180958562024228
5.000000000000001,-0.17176470588235293,0.49849427806356045
5.000000000000001,-0.14647058823529413,0.48190196020159226
5.000000000000001,-0.12117647058823527,0.4688234803969277
5.000000000000001,-0.09588235294117647,0.45982917970241793
5.000000000000001,-0.07058823529411762,0.45551300289704466
5.000000000000001,-0.04529411764705882,0.4563931942577649
5.000000000000001,-0.02,0.4627849993950894
